14493_FC A1
14493_Thal A2
14493_WGE A3
17671 A4
17754 A5
17756 A6
17812 A7
17936 A8
18121 A9
19043 A10
14501 A11
14812 A12
14862 B1
17940 B2
15237 B3
14510_FC B4
14510_Hipp B5
14510_Thal B6
15091 B7
15135 B8
15070 B9
14521 B10
14524 B11
14619 B12
16972 C1
12034 C2
12036 C3
17162 C4
17486 C5
17923 C6
14611_FC C7
16114_FC C8
16114_Hipp C9
16114_Thal C10
16114_WGE C11
18048 C12
17804_Hipp D1
17804_Thal D2
17804_WGE D3
11449 D4
12047 D5
11875 D6
14746 D7
17048 D8
17053 D9
18372 D10
17921 D11
12570 D12
11511 E1
15611 E2
13142 E3
17809_FC E4
17809_Thal E5
17809_WGE E6
13008_A E7
12993 E8
13117 E9
11396 E10
11654 E11
11928 E12
12152 F1
14473 F2
14402 F3
14404 F4
15626 F5
17071 F6
17883_FC F7
17883_Hipp F8
17883_Thal F9
17883_WGE F10
12972_FC F11
12972_Hipp F12
12971_FC G1
13823_FC G2
14483_FC G3
17072 G4
17086 G5
17109 G6
17160 G7
17167 G8
17175 G9
18184_FC G10
18184_Thal G11
18184_WGE G12
17198 H1
17264 H2
17369 H3
17629 H4
17630 H5
18190_FC H6
18190_Thal H7
18190_WGE H8
18351_FC H9
18351_Hipp H10
18351_Thal H11
18351_WGE H12
