cell	donor_id	prob_max	prob_doublet	n_vars	best_singlet	best_doublet	doublet_logLikRatio
01_01_10	unassigned	3.65e-03	4.41e-05	0	1102_1102	1102_1102,1117_1117	0.000
01_01_12	unassigned	4.15e-02	5.00e-04	2	1102_1102	1102_1102,16024_16024	0.000
01_01_36	unassigned	3.65e-03	4.41e-05	0	1102_1102	1102_1102,1117_1117	0.000
01_01_37	unassigned	3.65e-03	4.41e-05	0	1102_1102	1102_1102,1117_1117	0.000
01_01_46	unassigned	3.65e-03	4.41e-05	0	1102_1102	1102_1102,1117_1117	0.000
01_01_48	unassigned	1.32e-02	1.59e-04	1	1102_1102	1102_1102,1923_1923	0.000
01_01_54	unassigned	5.23e-03	6.31e-05	1	1102_1102	1102_1102,1117_1117	0.000
01_01_55	unassigned	5.70e-02	6.88e-04	3	1102_1102	1102_1102,11396_11396	0.000
01_01_57	unassigned	2.26e-02	2.72e-04	3	16972_16972	16972_16972,17071_17071	0.000
01_01_65	unassigned	3.65e-03	4.41e-05	0	1102_1102	1102_1102,1117_1117	0.000
01_01_81	unassigned	1.71e-01	2.07e-03	5	14483_FC	14483_FC,16114_FC	0.000
01_01_84	unassigned	2.16e-01	1.79e-03	4	1102_1102	1102_1102,17053_17053	-0.375
01_01_86	1102_1102	9.69e-01	2.80e-03	11	1102_1102	1102_1102,12152_12152	-1.431
01_02_06	unassigned	3.65e-03	4.41e-05	0	1102_1102	1102_1102,1117_1117	0.000
01_02_10	unassigned	3.65e-03	4.41e-05	0	1102_1102	1102_1102,1117_1117	0.000
01_02_15	unassigned	9.63e-03	1.16e-04	1	11396_11396	11396_11396,11928_11928	0.000
01_02_22	unassigned	2.46e-02	2.97e-04	2	12047_12047	12047_12047,14501_14501	0.000
01_02_24	unassigned	3.65e-03	4.41e-05	0	1102_1102	1102_1102,1117_1117	0.000
01_02_27	unassigned	6.65e-03	8.02e-05	1	2143_2143	2143_2143,11396_11396	0.000
01_02_39	unassigned	5.81e-03	7.01e-05	1	1102_1102	1102_1102,1117_1117	0.000
01_02_41	unassigned	3.65e-03	4.41e-05	0	1102_1102	1102_1102,1117_1117	0.000
01_02_62	unassigned	4.81e-03	5.80e-05	1	1102_1102	1102_1102,1117_1117	0.000
01_02_69	unassigned	7.55e-03	9.11e-05	1	1117_1117	1117_1117,1558_1558	0.000
01_02_73	unassigned	3.65e-03	4.41e-05	0	1102_1102	1102_1102,1117_1117	0.000
01_02_88	unassigned	1.41e-02	1.70e-04	1	1102_1102	1102_1102,11449_11449	0.000
01_03_09	unassigned	2.88e-02	3.47e-04	2	1102_1102	1102_1102,12047_12047	0.000
01_03_10	unassigned	5.51e-02	7.92e-04	5	14284_14284	14402_14402,16972_16972	0.176
