statistic,12971_FC,12972_FC,12972_Hipp,13008_A,13823_FC,14483_FC,14493_FC,14493_Thal,14493_WGE,14510_FC,14510_Hipp,14510_Thal,14611_FC,16114_FC,16114_Hipp,16114_Thal,16114_WGE,17804_Hipp,17804_Thal,17804_WGE,17809_FC,17809_Thal,17809_WGE,17883_FC,17883_Hipp,17883_Thal,17883_WGE,18184_FC,18184_Thal,18184_WGE,18190_FC,18190_Thal,18190_WGE,18351_FC,18351_Hipp,18351_Thal,18351_WGE,sample_11396,sample_11449,sample_11511,sample_11654,sample_11875,sample_11928,sample_12034,sample_12036,sample_12047,sample_12152,sample_12570,sample_12993,sample_13117,sample_13142,sample_14402,sample_14404,sample_14473,sample_14501,sample_14521,sample_14524,sample_14619,sample_14746,sample_14812,sample_14862,sample_15070,sample_15091,sample_15135,sample_15237,sample_15611,sample_15626,sample_16972,sample_17048,sample_17053,sample_17071,sample_17072,sample_17086,sample_17109,sample_17160,sample_17162,sample_17167,sample_17175,sample_17198,sample_17264,sample_17369,sample_17486,sample_17629,sample_17630,sample_17671,sample_17754,sample_17756,sample_17812,sample_17921,sample_17923,sample_17936,sample_17940,sample_18048,sample_18121,sample_18372,sample_19043,all-sample
sample_well_count,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,96
number_of_cells,8390,9804,13607,8714,8871,6436,7956,12214,3878,7243,1519,5331,3515,13089,3207,10162,8901,6981,8965,8705,8465,10402,7501,9266,11999,11232,8211,9417,8727,7891,8907,11895,7824,7667,7308,11023,6350,9398,9243,8555,22821,6217,10559,9661,6339,6842,8692,10319,9585,7853,7767,3522,10025,10418,9852,2724,11983,16387,8465,11151,9072,6299,7482,6801,7079,8787,11492,7895,18844,18429,9083,7164,14326,19674,10414,11536,10088,9750,10758,11447,8838,18219,10595,11503,8998,8210,14227,7630,16719,10355,17680,4465,7964,8362,24312,7859,932307
hg38_number_of_cells,8390,9804,13607,8714,8871,6436,7956,12214,3878,7243,1519,5331,3515,13089,3207,10162,8901,6981,8965,8705,8465,10402,7501,9266,11999,11232,8211,9417,8727,7891,8907,11895,7824,7667,7308,11023,6350,9398,9243,8555,22821,6217,10559,9661,6339,6842,8692,10319,9585,7853,7767,3522,10025,10418,9852,2724,11983,16387,8465,11151,9072,6299,7482,6801,7079,8787,11492,7895,18844,18429,9083,7164,14326,19674,10414,11536,10088,9750,10758,11447,8838,18219,10595,11503,8998,8210,14227,7630,16719,10355,17680,4465,7964,8362,24312,7859,932307
hg38_median_tscp_per_cell,534,2767,1236,1516,744,447,1712,1412.5,502,1155,1073,808,595,7317,1839,4123,131,900,4795,633,866,2399.5,426,1016,394,324,273,1632,429,478,1744,1357,1285.5,1316,1194,1343,383,2684.5,1878,1142,548,1511,1047,2013,1761,2001.5,1352,1763,1857,1339,1194,1101,834,310,260,1796.5,1711,1479,1123,1547,1312,1263,286,471,711,1049,480,616,3464,1019,334,418,111,156.5,734,838,975,1154,1033,1127,3829,603,1450,3481,2169.5,1174.5,3089,3150.5,1456,643,318,332,1424.5,1185.5,1139,353,1036
hg38_median_tscp_at50,957.752,4923.503,2234.619,2725.785,1357.344,816.863,3106.405,2557.202,899.562,2104.24,1940.765,1466.539,1082.318,13294.757,3364.361,7494.775,238.639,1636.09,8640.272,1153.258,1570.958,4331.377,783.508,1862.359,730.54,597.309,497.275,2986.005,774.764,868.095,3176.861,2488.707,2380.674,2400.561,2190.13,2419.277,693.186,4822.425,3333.249,2047.515,1011.148,2761.961,1888.151,3631.422,3184.25,3610.236,2448.074,3155.054,3352.59,2424.354,2203.626,1986.539,1526.887,564.892,475.016,3219.926,3064.218,2649.287,2031.818,2812.364,2392.566,2323.665,524.697,872.174,1331.421,1907.822,876.953,1124.585,6215.212,1813.051,605.853,764.991,207.878,289.759,1333.645,1481.111,1744.513,2081.549,1875.635,2026.988,6979.669,1084.055,2637.247,6323.853,3894.826,2127.911,5679.431,5675.244,2589.257,1167.66,580.311,601.553,2598.621,2153.016,2051.622,643.071,1875.875
hg38_median_genes_per_cell,435,1476.5,858,981,595,380,1058.5,1020.5,406,799,838,637,475,2953,1179,2164,121,722,2420,503,652,1471.5,355,752,342,284,245,1106,368,400,1066,982,877,916,869.5,978,324,1607,1177,852,452,1027,765,1237,1130,1272,947,1105,1190,921,924,819,643,275,232,1231.5,1154,1046,801,1081,892,889,259,403,602,773,410,505,1945,761,295,356,107,147,582,637,733,827,750,823,2051,490,1011,1878,1325.5,870.5,1700,1751,1014,525,279,295,1064,857,866,307,768
mean_reads_per_cell,4985.4,16454.961,9785.255,11021.728,6787.212,4084.671,12157.017,14622.616,7365.14,8216.056,25184.23,7357.78,5704.782,40915.514,14596.957,23274.544,1071.254,9772.413,22857.526,5669.483,6796.219,12728.933,3031.844,6479.639,4135.865,2754.645,2684.018,11980.182,4243.475,4713.339,12070.378,9941.954,10780.609,9132.314,11694.966,10018.09,3459.573,17737.553,19015.387,10498.262,5692.134,12996.342,10776.279,14323.039,15148.953,17624.429,19173.235,9600.406,13446.84,13862.965,11898.962,19958.215,7158.691,3297.197,2604.432,17888.105,17131.465,11855.168,10726.431,12746.094,9428.278,11270.047,3162.076,6405.413,8667.752,8917.371,5338.817,6299.641,24897.911,9087,3148.678,4144.772,1137.549,1708.069,5809.918,5812.962,7810.946,7535.337,6048.526,8616.584,27889.767,4727.889,9485.247,29127.126,13260.415,9084.999,18543.233,22099.285,9953.207,7795.722,2510.298,8172.779,13440.576,7473.697,7791.448,3404.324,10353.995
number_of_reads,41827503.041,161324441.121,133147962.871,96043336.954,60209359.606,26288945.167,96721226.543,178600633.894,28562011.08,59508892.31,38254846.049,39224322.55,20052307.269,535543156.671,46812441.759,236515911.263,9535232.877,68221212.667,204917720.549,49352849.776,57529991.216,132406357.471,22741861.242,60040330.413,49626246.305,30940176.228,22038474.486,112817370.264,37032803.657,37192957.905,107510853.071,118259542.089,84347482.133,70017453.641,85466809.382,110429404.456,21968286.798,166697524.461,175759225.94,89812627.431,129900200.937,80798255.373,113786726.137,138374879.351,96029214.028,120586340.177,166653758.301,99066586.385,128887958.537,108865867.823,92419238.357,70292833.072,71765874.551,34350202.717,25658863.443,48727198.747,205286345.173,194270644.761,90799242.55,142131691.433,85533333.512,70990025.801,23658654.622,43563216.029,61359013.194,78356939.603,61353681.18,49735669.161,469176233.997,167464331.557,28599443.61,29693148.998,16296522.555,33604544.769,60504482.67,67058323.919,78796821.3,73469534.461,65070043.684,98634038.58,246489757.213,86137415.228,100496196.479,335049327.386,119317217.752,74587841.118,263814581.914,168617545.695,166407665.643,80724705.019,44382073.29,36491459.175,107040746.686,62495057.541,189425687.007,26754580.195,9653101875
number_of_tscp,13599979,61782482,41263911,34076313,20276930,7987450,36032495,57519879,10049549,22191215,12207056,12725988,6964197,208867058,16777713,89790542,2889742,19124608,75843552,17668760,20761247,48548147,8156882,21946697,15336962,10393848,7110509,42066229,12181028,12484628,41190735,39206510,30988397,25633052,29084203,35023795,7679344,61997136,64231371,30579075,39720892,29032976,37871559,51446267,35145815,41567561,55295507,37809939,46819161,37671224,26900497,14619993,26981890,10996632,8508578,15924852,71627897,65667702,32303743,49364104,31448129,25405772,7587177,13625119,15900585,27736981,19817112,15534842,167656323,55355682,8944712,10071409,4396501,8906579,20548734,24025092,26451073,25772708,23849661,32762647,90470762,26513461,34640480,128115538,44965528,25013448,100657913,61445233,57284485,25952331,14127788,11897731,33505244,21893890,56868562,8471840,3375137075
hg38_number_of_tscp,13599979,61782482,41263911,34076313,20276930,7987450,36032495,57519879,10049549,22191215,12207056,12725988,6964197,208867058,16777713,89790542,2889742,19124608,75843552,17668760,20761247,48548147,8156882,21946697,15336962,10393848,7110509,42066229,12181028,12484628,41190735,39206510,30988397,25633052,29084203,35023795,7679344,61997136,64231371,30579075,39720892,29032976,37871559,51446267,35145815,41567561,55295507,37809939,46819161,37671224,26900497,14619993,26981890,10996632,8508578,15924852,71627897,65667702,32303743,49364104,31448129,25405772,7587177,13625119,15900585,27736981,19817112,15534842,167656323,55355682,8944712,10071409,4396501,8906579,20548734,24025092,26451073,25772708,23849661,32762647,90470762,26513461,34640480,128115538,44965528,25013448,100657913,61445233,57284485,25952331,14127788,11897731,33505244,21893890,56868562,8471840,3375137075
