statistic,combined,all-sample__1,all-sample__2,all-sample__3,all-sample__4,all-sample__5,all-sample__6,all-sample__7,all-sample__8,all-sample__9,all-sample__10,all-sample__11,all-sample__12,all-sample__13,all-sample__14,all-sample__15,all-sample__16
sample_well_count,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96
number_of_cells,932307,62136,62330,61674,61345,62210,57729,64032,59944,58820,59872,56941,53736,53496,52769,51146,54127
hg38_number_of_cells,932307,62136,62330,61674,61345,62210,57729,64032,59944,58820,59872,56941,53736,53496,52769,51146,54127
hg38_median_tscp_per_cell,1036,674,1133,1190,1123,976,1260,1053,956,1154,1111,954,1182,953,988,973,989
hg38_median_tscp_at50,1875.875,833.944,2588.28,1620.823,2474.893,1904.185,1786.862,2771.34,2009.515,1829.42,2093.012,2063.153,2098.243,1867.697,1953.817,1981.487,1927.788
hg38_median_genes_per_cell,768,535,827,860,822,731,900,780,718,841,813,718,855,718,739,730,738
mean_reads_per_cell,10353.995,11357.977,11062.919,13580.738,9707.332,9488.556,15286.142,9092.203,8971.547,11803.327,10113.595,8384.77,10683.176,8928.411,9185.312,8614.187,8827.401
number_of_reads,9653101875,705739255,689551735,837578421,595496290,590283078,882453669,582191913,537790428,694271688,605521158,477437197,574071141,477634260,484699712,440581203,477800727
number_of_tscp,3375137075,141699807,245170043,251671685,243709463,212500786,250941884,239521988,201161434,235569993,227845341,180811958,220883058,184519401,182580968,174400938,182148328
hg38_number_of_tscp,3375137075,141699807,245170043,251671685,243709463,212500786,250941884,239521988,201161434,235569993,227845341,180811958,220883058,184519401,182580968,174400938,182148328
sequencing_saturation,0.276,0.404,0.219,0.367,0.227,0.256,0.353,0.19,0.238,0.315,0.265,0.231,0.282,0.255,0.253,0.246,0.257
valid_barcode_fraction,0.738,0.616,0.755,0.729,0.764,0.742,0.686,0.766,0.775,0.745,0.752,0.731,0.779,0.742,0.76,0.77,0.762
bc1_Q30,0.926,0.928,0.939,0.928,0.922,0.924,0.918,0.928,0.93,0.927,0.926,0.919,0.928,0.92,0.929,0.911,0.928
bc2_Q30,0.946,0.946,0.957,0.947,0.944,0.945,0.938,0.95,0.951,0.948,0.947,0.941,0.949,0.94,0.948,0.935,0.949
bc3_Q30,0.959,0.963,0.968,0.961,0.957,0.958,0.954,0.963,0.962,0.96,0.959,0.955,0.961,0.954,0.961,0.949,0.961
cDNA_Q30,0.935,0.927,0.934,0.934,0.939,0.931,0.93,0.938,0.935,0.936,0.937,0.936,0.94,0.938,0.933,0.935,0.936
polyN_Q30,0.957,0.962,0.966,0.96,0.954,0.957,0.952,0.96,0.958,0.958,0.957,0.953,0.958,0.953,0.96,0.947,0.959
transcriptome_map_fraction,0.653,0.547,0.603,0.651,0.693,0.653,0.641,0.663,0.633,0.665,0.681,0.674,0.687,0.699,0.663,0.681,0.673
tso_fraction_in_read1,0.491,0.465,0.475,0.477,0.514,0.506,0.433,0.498,0.453,0.514,0.519,0.514,0.52,0.504,0.514,0.52,0.491
hg38_fraction_reads_in_cells,0.817,0.809,0.809,0.804,0.813,0.819,0.806,0.819,0.825,0.818,0.822,0.815,0.823,0.826,0.825,0.83,0.83
hg38_fraction_tscp_in_cells,0.813,0.804,0.806,0.798,0.809,0.815,0.799,0.816,0.821,0.814,0.818,0.812,0.818,0.822,0.821,0.827,0.826
hg38_fraction_exonic,0.198,0.198,0.198,0.199,0.199,0.198,0.198,0.199,0.196,0.196,0.197,0.198,0.198,0.198,0.198,0.199,0.199
cell_tscp_cutoff,497.708,307.738,558.124,580.838,563.788,472.791,599.896,522.371,473.116,541.634,515.991,425.622,516.313,446.288,443.425,430.675,433.674
cell_tscp_f01_slope,4.417,4.373,3.925,4.065,4.163,4.203,4.232,4.301,4.701,4.302,4.569,4.601,4.805,4.618,4.675,4.775,5.079
