well,count
A1,10684
A2,10052
A3,7105
A4,10369
A5,10544
A6,10950
A7,10954
A8,10082
A9,9546
A10,8200
A11,10307
A12,9557
B1,10654
B2,10645
B3,10906
B4,8984
B5,10752
B6,11431
B7,11035
B8,10764
B9,10510
B10,10166
B11,9750
B12,10437
C1,8853
C2,9760
C3,11370
C4,10491
C5,11063
C6,3930
C7,10770
C8,10056
C9,10827
C10,9855
C11,10877
C12,10325
D1,9732
D2,10053
D3,10640
D4,10311
D5,10120
D6,10946
D7,8960
D8,9657
D9,8682
D10,12031
D11,8340
D12,10047
E1,9283
E2,9653
E3,9284
E4,10107
E5,9394
E6,9923
E7,5325
E8,11080
E9,11022
E10,10910
E11,10824
E12,9058
F1,10241
F2,9464
F3,9914
F4,10655
F5,10399
F6,10106
F7,10356
F8,9441
F9,10725
F10,9817
F11,9885
F12,9499
G1,10884
G2,10774
G3,11602
G4,9935
G5,10062
G6,10224
G7,11014
G8,10561
G9,11203
G10,10413
G11,7304
G12,10759
H1,12541
H2,10452
H3,11335
H4,11194
H5,8087
H6,9436
H7,9654
H8,8120
H9,8308
