statistic,combined,all-sample__1,all-sample__2,all-sample__3,all-sample__4,all-sample__5,all-sample__6,all-sample__7,all-sample__8,all-sample__9,all-sample__10,all-sample__11,all-sample__12,all-sample__13,all-sample__14,all-sample__15,all-sample__16
bc1_perfrac,0.724,0.603,0.743,0.716,0.751,0.728,0.673,0.753,0.76,0.731,0.738,0.718,0.763,0.726,0.743,0.753,0.746
bc2_perfrac,0.805,0.697,0.826,0.801,0.831,0.807,0.758,0.832,0.837,0.813,0.814,0.799,0.839,0.805,0.822,0.831,0.826
bc3_perfrac,0.905,0.882,0.914,0.905,0.912,0.908,0.884,0.913,0.915,0.91,0.907,0.898,0.915,0.9,0.912,0.907,0.914
bc1_Q30,0.926,0.928,0.939,0.928,0.922,0.924,0.918,0.928,0.93,0.927,0.926,0.919,0.928,0.92,0.929,0.911,0.928
bc2_Q30,0.946,0.946,0.957,0.947,0.944,0.945,0.938,0.95,0.951,0.948,0.947,0.941,0.949,0.94,0.948,0.935,0.949
bc3_Q30,0.959,0.963,0.968,0.961,0.957,0.958,0.954,0.963,0.962,0.96,0.959,0.955,0.961,0.954,0.961,0.949,0.961
bc_edit_dist_0,642628010208,39398385120,47337940032,55262783808,41032637664,39486187008,54509832864,40366295904,37609408992,46646407584,41078612448,31427108640,40347345120,31840225632,33191193792,30338446272,32755199328
bc_edit_dist_1,43222313856,2675568384,2813876544,3645984384,2854236672,2734271328,3973371840,2589473376,2448843552,3196604256,2722918176,2210204064,2575013280,2208217152,2144301888,2249907168,2179521792
bc_edit_dist_2,108688437984,10932459264,7281187776,9455517888,6129135648,6651470400,11142714528,6059106624,5455252416,7818567360,6604731072,5472961056,5705961024,5245336128,5209939296,4485455232,5038642272
bc_edit_dist_NA,131982170592,14731633152,8751205248,12027807264,7140735168,7784422368,15073510368,6864873408,6104464224,8975722656,7712626848,6714953088,6472103232,6550412736,5976950400,5213918976,5886831456
cDNA_Q30,0.935,0.927,0.934,0.934,0.939,0.931,0.93,0.938,0.935,0.936,0.937,0.936,0.94,0.938,0.933,0.935,0.936
cell_gene_count,32637869,1894115,2066447,2116416,2095007,2026732,2161836,2098444,1995491,2081365,2059954,1985369,2056281,2039691,1972039,2019092,1969590
cell_mread_count,3810995138,192258858,253961587,319733087,256300429,234025470,312338864,242175980,217722094,281505440,254986683,191683099,252921856,204618522,201563465,191946882,203252822
cell_tscp_count,2745665334,113951129,197503531,200823635,197123563,173209345,200523059,195333111,165213771,191814695,186430983,146751547,180735975,151630074,149954874,144178814,150487228
cell_tscp_cutoff,497.708,307.738,558.124,580.838,563.788,472.791,599.896,522.371,473.116,541.634,515.991,425.622,516.313,446.288,443.425,430.675,433.674
cell_tscp_f01_slope,4.417,4.373,3.925,4.065,4.163,4.203,4.232,4.301,4.701,4.302,4.569,4.601,4.805,4.618,4.675,4.775,5.079
hg38_number_of_tscp,3375137075,141699807,245170043,251671685,243709463,212500786,250941884,239521988,201161434,235569993,227845341,180811958,220883058,184519401,182580968,174400938,182148328
hg38_fraction_exonic,0.198,0.198,0.198,0.199,0.199,0.198,0.198,0.199,0.196,0.196,0.197,0.198,0.198,0.198,0.198,0.199,0.199
hg38_number_of_cells,932307,62136,62330,61674,61345,62210,57729,64032,59944,58820,59872,56941,53736,53496,52769,51146,54127
hg38_median_tscp_per_cell,1036,674,1133,1190,1123,976,1260,1053,956,1154,1111,954,1182,953,988,973,989
