well,count
A1,1712
A2,1412
A3,502
A4,2169
A5,1174
A6,3089
A7,3150
A8,318
A9,1185
A10,353
A11,260
A12,1547
B1,1312
B2,332
B3,711
B4,1155
B5,1073
B6,808
B7,286
B8,471
B9,1263
B10,1796
B11,1711
B12,1479
C1,616
C2,2013
C3,1761
C4,838
C5,603
C6,643
C7,595
C8,7317
C9,1839
C10,4123
C11,131
C12,1424
D1,900
D2,4795
D3,633
D4,1878
D5,2001
D6,1511
D7,1123
D8,3464
D9,1019
D10,1139
D11,1456
D12,1763
E1,1142
E2,1049
E3,1194
E4,866
E5,2399
E6,426
E7,1516
E8,1857
E9,1339
E10,2684
E11,548
E12,1047
F1,1352
F2,310
F3,1101
F4,834
F5,480
F6,334
F7,1016
F8,394
F9,324
F10,273
F11,2767
F12,1236
G1,534
G2,744
G3,447
G4,418
G5,111
G6,156
G7,734
G8,975
G9,1154
G10,1632
G11,429
G12,478
H1,1033
H2,1127
H3,3829
H4,1450
H5,3481
H6,1744
H7,1357
H8,1285
H9,1316
H10,1194
H11,1343
H12,383
