statistic,12971_FC,12972_FC,12972_Hipp,13008_A,13823_FC,14483_FC,14493_FC,14493_Thal,14493_WGE,14510_FC,14510_Hipp,14510_Thal,14611_FC,16114_FC,16114_Hipp,16114_Thal,16114_WGE,17804_Hipp,17804_Thal,17804_WGE,17809_FC,17809_Thal,17809_WGE,17883_FC,17883_Hipp,17883_Thal,17883_WGE,18184_FC,18184_Thal,18184_WGE,18190_FC,18190_Thal,18190_WGE,18351_FC,18351_Hipp,18351_Thal,18351_WGE,sample_11396,sample_11449,sample_11511,sample_11654,sample_11875,sample_11928,sample_12034,sample_12036,sample_12047,sample_12152,sample_12570,sample_12993,sample_13117,sample_13142,sample_14402,sample_14404,sample_14473,sample_14501,sample_14521,sample_14524,sample_14619,sample_14746,sample_14812,sample_14862,sample_15070,sample_15091,sample_15135,sample_15237,sample_15611,sample_15626,sample_16972,sample_17048,sample_17053,sample_17071,sample_17072,sample_17086,sample_17109,sample_17160,sample_17162,sample_17167,sample_17175,sample_17198,sample_17264,sample_17369,sample_17486,sample_17629,sample_17630,sample_17671,sample_17754,sample_17756,sample_17812,sample_17921,sample_17923,sample_17936,sample_17940,sample_18048,sample_18121,sample_18372,sample_19043,all-sample
sample_well_count,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,96
number_of_cells,7831,9136,12609,8147,8330,6068,7424,11340,3555,6783,1698,5007,3253,12167,2994,9454,8492,6524,8337,8118,7946,9657,7053,8645,11188,10468,7646,8756,7938,7337,8284,11102,7302,7135,6783,10281,5872,8737,8557,7952,21118,5802,9803,8973,5909,6432,8123,9603,8916,7290,7212,3487,9356,9731,9469,2493,10950,15038,7887,10142,8451,5861,7233,6726,6675,8169,10572,7387,17469,17130,8655,6677,13230,12916,9689,10794,9359,9090,9967,10658,8228,16997,9862,10697,8448,7661,13243,7117,15538,9603,16437,2916,6959,7755,22688,7463,861960
hg38_number_of_cells,7831,9136,12609,8147,8330,6068,7424,11340,3555,6783,1698,5007,3253,12167,2994,9454,8492,6524,8337,8118,7946,9657,7053,8645,11188,10468,7646,8756,7938,7337,8284,11102,7302,7135,6783,10281,5872,8737,8557,7952,21118,5802,9803,8973,5909,6432,8123,9603,8916,7290,7212,3487,9356,9731,9469,2493,10950,15038,7887,10142,8451,5861,7233,6726,6675,8169,10572,7387,17469,17130,8655,6677,13230,12916,9689,10794,9359,9090,9967,10658,8228,16997,9862,10697,8448,7661,13243,7117,15538,9603,16437,2916,6959,7755,22688,7463,861960
hg38_median_tscp_per_cell,1289,6697.5,3002,3613,1771.5,1069,4133.5,3438,1234,2781,2119,1949,1453,17943,4474,10150.5,310,2181.5,11621,1544,2073.5,5791,1034,2440,954,791,655,3975.5,1059.5,1154,4229,3303,3138,3201,2934,3220,923,6552,4519,2755,1359,3694.5,2508,4835,4265,4767,3293,4267,4514.5,3262,2942,2516,2027,764,627,4386,4213,3653,2703,3897.5,3168,3092,679,1139,1740,2518,1179.5,1509,8549,2449,794,1015,277,539,1763,1974,2361,2819.5,2483,2695.5,9235.5,1453,3521,8591,5167.5,2844,7638,7596,3564,1600,772,1064,3836,2916,2751,828,2544
hg38_median_tscp_at50,1237.586,6333.775,2913.774,3450.493,1712.82,1035.186,3965.906,3338.473,1164.299,2674.86,2038.383,1888.077,1398.767,17236.968,4324.714,9738.718,300.233,2116.217,11115.577,1488.429,1992.796,5535.64,1002.765,2356.344,937.179,773.726,633.727,3841.676,1021.648,1114.421,4065.887,3228.655,3054.387,3087.327,2845.554,3101.68,885.201,6210.672,4264.647,2646.408,1342.462,3587.379,2419.073,4618.566,4093.787,4565.848,3180.039,4047.771,4338.033,3148.685,2875.776,2411.937,1954.108,743.844,608.663,4224.985,4032.545,3520.072,2606.861,3771.547,3049.639,3006.939,662.237,1119.838,1742.853,2440.179,1150.161,1466.195,8148.236,2345.509,767.835,983.767,276.058,535.018,1703.461,1864.952,2259.349,2700.859,2384.91,2580.968,8878.03,1398.821,3393.611,8234.868,4922.371,2741.92,7372.059,7247.379,3379.122,1548.759,749.333,1024.852,3740.999,2812.396,2653.526,804.773,2446.428
hg38_median_genes_per_cell,922,2677.5,1734,1879,1219,805,2015,2036,871,1564,1468,1316,997,5009,2263.5,3921.5,271,1509.5,4304,1044.5,1307,2765,750,1500,753,628,544,2138,808,855,2005,1958,1723,1795,1771,1958,694,3017,2262,1710,980.5,2011,1534,2356,2176,2425,1901,2079,2280,1835,1893.5,1618,1308,615,513,2426,2280.5,2122,1609,2218,1754,1765,564,865.5,1294,1546,898.5,1072,3610,1542,640,769,251.5,464,1217,1271,1489,1651.5,1499,1640.5,3639,1050,1991.5,3423,2457,1758,3135,3168,2023.5,1136,612,825,2316,1734,1768,658,1569
mean_reads_per_cell,16896.219,56772.478,33193.608,37893.389,22929.907,13884.047,42029.005,50019.796,26001.531,28447.621,71824.831,24843.253,19714.479,142711.29,50037.962,81140.475,3574.025,33551.03,79136.522,19472.384,23184.052,44285.513,10362.952,22452.103,14239.798,9365.151,9110.709,41704.635,14774.857,16214.18,41912.477,33802.618,37501.329,31574.434,40588.117,34121.567,11932.64,62257.805,66541.014,35850.753,19420.876,44762.469,36962.075,49858.34,52305.248,60645.139,65617.172,33295.939,46008.726,47561.038,40364.053,65870.119,24922.341,11098.523,8593.831,61182.287,59823.22,40544.599,36640.601,44717.118,32776.803,38971.499,10335.096,20258.743,28686.253,30623.003,18502.669,21480.358,86945.827,30559.946,10444.308,14192.801,3866.739,8136.175,19870.227,19817.39,26626.074,26047.912,21020.039,29836.218,97434.415,16149.484,32901.914,101975.026,45720.993,30927.413,65063.011,76479.656,34521.869,26898.135,8557.853,39625.957,48882.902,25651.833,26826.332,11381.572,35946.479
number_of_reads,132314294.671,518673363.429,418538198.642,308717439.823,191006127.278,84248397.373,312023331.567,567224488.469,92435443.239,192960211.217,121958562.651,124390169.184,64131201.583,1736368266.661,149813659.172,767102052.065,30350624.039,218886916.474,659761186.074,158076816.433,184220480.729,427665200.727,73089898.723,194098433.891,159314858.137,98034402.895,69660484.299,365165785.405,117282817.15,118963442.066,347202958.244,375276662.914,273834702.294,225283587.877,275309200.257,350803833.763,70068461.403,543946439.071,569391460.45,285085187.359,410130056.355,259711842.568,362339222.045,447378888.743,309071713.262,390069534.489,533008291.954,319740905.21,410213798.541,346719967.824,291105550.7,229689103.533,233173417.958,107999729.742,81374985.711,152527440.32,655064263.701,609709677.868,288984416.575,453521010.135,276996764.187,228411958.507,74753752.364,136260308.456,191480738.036,250159310.037,195610212.125,158675407.957,1518856653.18,523491875.224,90395482.033,94765334.663,51156959.775,105086838.994,192522625.794,213908902.96,249193422.141,236775516.369,209506733.327,317994407.462,801690363.49,274492786.634,324478678.272,1090826848.833,386250952.389,236934914.52,861629455.297,544305714.283,536400804.527,258302793.872,140665429.759,115549291.88,340176112.581,198929964.636,608635830.281,84940672.224,30984426682
number_of_tscp,30568362,138389624,93684919,76901284,46195101,18246775,81679977,130885763,22780089,50635489,27730476,28876743,15814551,476526000,38247144,205090060,6611543,43673114,171810037,40179103,46869594,110108757,18645462,50054651,35265312,23719473,16173573,95960152,27512266,28441393,93498122,89526093,71535109,58291028,67068578,79463133,17388135,140877510,144824924,68787660,91172118,66395624,85576941,116840970,79843783,94642047,125284649,85139534,105636922,85160794,61858366,33393732,61706454,24863827,19357915,35697742,161124693,147029146,72944319,112289496,71811890,58204724,17324466,31080431,36536045,62854307,45136166,35550296,380768914,123862319,20334897,22940651,10207498,20402793,46551335,53592826,59313156,58474608,54162479,73984968,206482467,59753876,78626711,292439371,101837593,56613618,231324537,138883532,128933025,58922249,32118421,26909458,76465615,50374602,129009267,19286487,7665571749
hg38_number_of_tscp,30568362,138389624,93684919,76901284,46195101,18246775,81679977,130885763,22780089,50635489,27730476,28876743,15814551,476526000,38247144,205090060,6611543,43673114,171810037,40179103,46869594,110108757,18645462,50054651,35265312,23719473,16173573,95960152,27512266,28441393,93498122,89526093,71535109,58291028,67068578,79463133,17388135,140877510,144824924,68787660,91172118,66395624,85576941,116840970,79843783,94642047,125284649,85139534,105636922,85160794,61858366,33393732,61706454,24863827,19357915,35697742,161124693,147029146,72944319,112289496,71811890,58204724,17324466,31080431,36536045,62854307,45136166,35550296,380768914,123862319,20334897,22940651,10207498,20402793,46551335,53592826,59313156,58474608,54162479,73984968,206482467,59753876,78626711,292439371,101837593,56613618,231324537,138883532,128933025,58922249,32118421,26909458,76465615,50374602,129009267,19286487,7665571749
