id	1102	1117	1558	1923	2143	11921	12570	13424	13454	13782	13885	13886	13901	13907	13910	13950	14105	14149	14402	14493	14533	14703	14706	14729	14821	15125	15217	15219	15260	15309	15328	15370	15426	15432	15444	15517	15658	15895	15955	15985	16024	16246	16393	16438	16488	16491	16548	17048	17053	17072	17162	17167	17175	17264	17369	17486	17629	17671	17754	17756	17767	17898	17921	17936	17972	18039	18048	18121	18137	18372	18382	19043	14510_FC
PCW	12	15	12	13	12	17	17	20	17	19	19	20	14	17	16	16	15	16	20	15	13	12	20	12	16	20	19	18	17	13	17	21	14	16	12	13	14	15	18	20	17	15	16	21	14	13	18	16	14	15	17	13	15	17	15	18	15	16	13	18	12	14	14	17	17	20	16	18	17	13	15	14	14
Sex	2	1	2	2	1	1	1	1	1	2	2	2	0	1	1	1	1	2	1	2	1	2	0	1	2	2	1	1	2	1	2	1	2	1	2	1	2	1	1	1	1	2	2	0	1	1	2	1	1	1	1	1	1	1	1	2	1	1	1	2	1	1	2	2	2	2	2	1	1	2	1	2	2
genPC1	 0.03277830	 0.03335930	 0.03346590	 0.03223310	-0.10159000	 0.03346040	 0.03364790	-0.01727400	 0.03318410	 0.03405410	 0.03113190	-0.03175350	 0.03272980	 0.03266560	 0.00592819	 0.03429730	 0.01919310	-0.02054350	 0.03182290	 0.04324490	 0.03638000	 0.03622610	 0.03423510	 0.03263780	 0.03279770	 0.02735100	 0.03146610	 0.03301920	-0.26817600	 0.03509870	-0.12185000	 0.03316630	 0.03401480	 0.03362810	 0.03346270	 0.03547610	-0.01435420	 0.03290300	 0.03759610	 0.03328590	 0.01028030	 0.03711160	 0.03516660	 0.03135170	 0.03445730	 0.02540680	-0.27285700	 0.03661100	 0.03432700	 0.03594600	-0.27865600	-0.00616086	-0.03407460	 0.03318110	 0.03341400	-0.32354000	 0.02324960	-0.02367450	-0.26353800	 0.03212880	-0.23048400	 0.03515080	 0.03546260	 0.03107510	 0.03597450	 0.03418930	 0.00891505	 0.03515740	 0.03401040	-0.04048630	-0.26061800	 0.03199720	 0.03662430
genPC2	 0.009296470	 0.008831380	 0.010730400	 0.012403300	-0.008825470	 0.011941500	 0.015389500	 0.014575300	 0.006896380	 0.006075300	 0.012125900	 0.015564100	 0.004641730	 0.021025400	 0.009918640	 0.014255200	 0.025406700	 0.007289580	 0.008481050	-0.699249000	 0.013550500	 0.007758170	 0.017253000	 0.009503650	 0.008983690	 0.002174250	 0.016734100	 0.006633290	-0.015972300	 0.009583140	 0.003242740	 0.013793400	 0.012615600	 0.020977600	 0.008349010	 0.014886000	 0.012693100	 0.017457800	 0.015231800	 0.008956820	 0.009810090	 0.015665200	 0.018485700	 0.005780180	 0.012474400	 0.012517100	-0.010463200	 0.011006400	 0.011895300	 0.016234200	-0.013651900	 0.026843200	 0.020859300	 0.013675100	 0.015712700	-0.005742720	 0.015971400	 0.012798400	-0.005285070	 0.016418400	-0.003680310	 0.017524700	 0.017805200	 0.014504600	 0.014850900	 0.000670467	 0.017006400	 0.012059600	 0.019215900	-0.006884930	 0.000892337	 0.015436300	 0.008588890
genPC3	 0.031985600	 0.016560000	 0.026800400	 0.023105500	 0.060270300	 0.018123700	 0.003932930	-0.177105000	 0.010638700	 0.023501900	 0.023053300	-0.462285000	 0.008539110	 0.013317300	 0.009109820	 0.051867300	-0.062812400	-0.301624000	-0.000603490	-0.017189800	 0.008932520	 0.026492700	 0.007325440	 0.024554000	 0.034527600	-0.026792200	-0.000252745	 0.030636900	 0.020579600	 0.020287700	 0.055285900	 0.015687500	 0.027000200	 0.025954700	 0.030069800	 0.018032300	 0.005285980	 0.024581300	 0.027681500	 0.031494100	-0.035411500	 0.053869800	 0.032689100	 0.028777400	 0.030623700	-0.019269400	 0.091611600	 0.025835500	 0.009122690	 0.036945700	 0.051218500	-0.286324000	-0.465747000	 0.029980800	 0.019449400	 0.067594100	-0.012693100	-0.098339200	 0.061273900	 0.008620620	 0.017660500	 0.039269300	 0.053406500	 0.028021100	 0.021807700	 0.032645100	-0.085745600	 0.020898200	 0.016737600	 0.033870400	-0.113321000	 0.024566900	 0.042358000
expPC1	 -32.219205	 -34.802239	 -34.052227	 -34.902733	 -32.705871	 -34.268905	  -9.686931	 -35.699274	 -33.474303	 -33.160103	 -31.961077	 -31.927467	 -35.448787	 -33.902329	 -28.010546	 -35.534660	 -34.943067	 -35.498558	 -29.691170	 -30.975267	 -35.607117	 -34.538572	 -34.991762	 -32.167770	 -35.808135	 -34.621003	 -35.844251	 -35.531577	 -35.483840	 -32.681304	 -35.721423	 -35.315232	 -34.445986	 -34.878069	 -33.901687	 -32.074500	 -33.087844	 -34.691724	 -34.454162	 -35.728617	 -30.751518	 -35.656991	 -34.703098	 -33.473940	 -34.455613	 -29.299870	 -16.491018	1101.288809	 -35.315478	 -29.020237	  54.625400	 -16.264676	 -34.741776	  78.804325	 -22.647038	 -19.156020	  98.884397	   2.088269	 108.259197	  10.920114	 -28.757389	 -35.704635	 249.921285	 -24.303218	 -34.438963	 -35.668635	 -35.490962	 221.039841	 -34.994296	  18.437627	 -24.725888	 -27.213298	 -35.713011
expPC2	 -4.05656428	 -4.66333729	 -4.37971394	 -4.58500217	 -3.88098604	 -4.55201647	 -2.78958286	 -4.83459391	 -4.17958968	 -4.21966122	 -3.90132929	 -3.70178526	 -4.72559216	 -4.28972718	 -2.96115150	 -4.75662360	 -4.51452233	 -4.76790606	 -3.07856464	 -3.04119313	 -4.87803656	 -4.51252115	 -4.57888340	 -3.96121619	 -4.86960158	 -4.45559277	 -4.90377430	 -4.85659739	 -4.73260638	 -4.26105879	 -4.82535481	 -4.71110572	 -4.48884517	 -4.62603555	 -4.46045972	 -4.17196399	 -4.54973413	 -4.80053919	 -4.50984173	 -4.90254894	 -3.41203184	 -4.81176341	 -4.70335110	 -3.92329944	 -4.62980321	 -2.74260714	 -0.26424512	-58.75010005	 -4.82495640	 -2.97725462	 22.25811147	 -1.49875898	 -4.43659101	 18.12665483	 -2.80451459	  0.06946928	 26.22557778	  1.54799434	 23.42013773	  0.43179106	 -3.94116718	 -4.86655647	136.91109201	 -2.91152877	 -4.47868776	 -4.82378071	 -4.79228471	 58.47773839	 -4.70092245	 13.60786462	 -2.08701654	 -2.88423736	 -4.76716347
expPC3	   1.45159921	   1.57109736	   1.54477716	   1.74290444	   1.57782624	   1.33490279	   0.20647578	   1.52602815	   1.51878671	   1.34201972	   1.93576013	   2.01448748	   1.47508350	   1.20350273	  -0.08638405	   1.53621660	   1.58067134	   1.52621039	   2.28653501	   1.01071499	   1.51183901	   1.36104838	   1.62257715	   1.57213092	   1.57812382	   1.36030637	   1.58920601	   1.60530516	   1.53561132	   1.30208226	   1.53837433	   1.60878269	   1.66612067	   1.56459490	   1.60306186	   1.68717427	   1.79629730	   1.55177036	   1.45019554	   1.53157112	   2.33491885	   1.53438615	   1.47381305	   1.05652432	   1.47949435	   0.55524574	  -1.56656802	  14.49966432	   1.64835726	   0.98922530	   1.87749002	   0.27912296	   1.47316478	 -12.22468183	   1.07409591	   1.51502712	 -17.70197374	   2.31912919	 -21.08399350	  -6.25141963	   1.47778784	   1.54625930	  64.16094827	   0.41323652	   1.34946120	   1.56706493	   1.53018618	-109.84086603	   1.73308913	  -1.66405885	  -0.21018733	   0.36583272	   1.50564592
expPC4	 -1.6836027	 -1.5139406	 -1.3506594	 -1.4256439	 -1.5862887	 -1.4448465	 -1.2980840	 -1.6199725	 -1.4532610	 -1.3290890	 -1.3716427	 -1.4185739	 -1.5779512	 -1.3663006	 -1.1038388	 -1.5961719	 -1.5914508	 -1.6980940	 -1.1663637	 -0.6761629	 -1.6490319	 -1.5110947	 -1.4505659	 -1.4158473	 -1.6647799	 -1.7036187	 -1.7013398	 -1.5722941	 -1.6928275	 -1.3504847	 -1.7123357	 -1.4568442	 -1.5127263	 -1.6270985	 -1.4994211	 -1.3790030	 -1.8810642	 -1.5212484	 -1.6780446	 -1.7284717	 -0.9380974	 -1.6927591	 -1.4603659	 -1.3977115	 -1.6349985	 -0.9484548	  0.1769766	 -5.3069896	 -1.6562002	 -1.0750762	  4.5798531	  0.2358429	 -1.5764127	  6.8602112	 -0.8153792	 -0.8107975	 22.0061071	 -0.8774774	 79.8669409	  1.2309548	 -1.5617265	 -1.6920415	-14.0997616	 -0.8429381	 -1.4142447	 -1.6352185	 -1.6683989	-29.6539329	 -1.5997821	  7.2498325	 -0.5823415	 -1.3258506	 -1.7106907
expPC5	 -0.53209712	 -0.91254982	 -0.98198280	 -1.05143324	 -1.00704968	 -0.73559119	  0.07106876	 -0.98285822	 -0.85149369	 -1.10463917	 -0.83852659	 -0.70732673	 -0.97195803	 -1.00532495	 -0.47299251	 -0.98063514	 -1.13309021	 -0.92889691	 -0.68163321	 -0.77556327	 -1.05777262	 -0.66481982	 -1.06913170	 -0.66670264	 -0.96681836	 -0.93557281	 -0.99716286	 -1.13991099	 -0.95547181	 -0.33559979	 -1.00055399	 -0.93210441	 -0.78838222	 -1.04006125	 -0.91898769	 -0.78062028	 -0.70430552	 -0.93388321	 -0.71385166	 -1.04543384	 -1.18181074	 -0.96828656	 -0.91902068	 -0.89476251	 -0.94137261	 -0.83162419	  0.60193275	 -2.25683339	 -0.99425417	 -0.62735832	 12.99514317	 -0.16818663	 -0.72666551	 16.98906302	  0.45651134	  0.20469198	 70.18244624	  0.77991932	-30.63007764	  1.32779763	 -1.18889858	 -0.92148379	 -9.71476963	 -0.34842201	 -0.92095801	 -1.05421879	 -0.95235917	-13.67082316	 -1.00907666	 -3.19478162	 -1.13006605	 -0.57150432	 -0.98030856
