eqtl_cell_type	peak_cell_type	p_value	observed_overlap	mean_permuted_overlap	fold_enrichment	source_cell_type
Glu-UL	ulEN_MACSpeaks	9.99000999000999e-4	267	82.973	3.217914261265713	Glu-UL
Glu-UL-0	ulEN_MACSpeaks	9.99000999000999e-4	129	39.189	3.291740029089796	Glu-UL-0
Glu-UL-1	ulEN_MACSpeaks	9.99000999000999e-4	75	21.309	3.5196395889060956	Glu-UL-1
Glu-UL-2	ulEN_MACSpeaks	9.99000999000999e-4	111	35.352	3.1398506449422947	Glu-UL-2
Glu-DL	dlEN_MACSpeaks	9.99000999000999e-4	159	44.316	3.587868941240184	Glu-DL
Glu-DL-0	dlEN_MACSpeaks	9.99000999000999e-4	67	14.079	4.758860714539384	Glu-DL-0
Glu-DL-1	dlEN_MACSpeaks	9.99000999000999e-4	42	10.314	4.072134962187318	Glu-DL-1
Glu-DL-2	dlEN_MACSpeaks	9.99000999000999e-4	44	12.756	3.449357165255566	Glu-DL-2
NPC	RG_MACSpeaks	9.99000999000999e-4	127	37.411	3.394723477052204	NPC
NPC-0	RG_MACSpeaks	9.99000999000999e-4	39	8.854	4.4047887960243965	NPC-0
NPC-1	RG_MACSpeaks	9.99000999000999e-4	62	15.271	4.059982974264947	NPC-1
NPC-2	RG_MACSpeaks	9.99000999000999e-4	22	4.659	4.7220433569435505	NPC-2
GABA	IN_CGE_MACSpeaks	9.99000999000999e-4	139	45.722	3.040111981103189	GABA
GABA	IN_MGE_MACSpeaks	9.99000999000999e-4	135	43.456	3.106590574374079	GABA
GABA-0	IN_CGE_MACSpeaks	9.99000999000999e-4	50	13.825	3.616636528028933	GABA-0
GABA-0	IN_MGE_MACSpeaks	9.99000999000999e-4	48	13.31	3.606311044327573	GABA-0
GABA-1	IN_CGE_MACSpeaks	9.99000999000999e-4	76	22.012	3.4526621842631293	GABA-1
GABA-1	IN_MGE_MACSpeaks	9.99000999000999e-4	76	21.015	3.616464430168927	GABA-1
GABA-2	IN_CGE_MACSpeaks	9.99000999000999e-4	13	3.655	3.5567715458276337	GABA-2
GABA-2	IN_MGE_MACSpeaks	9.99000999000999e-4	13	3.483	3.7324145851277635	GABA-2
Endo-Peri	EndoMural_MACSpeaks	9.99000999000999e-4	12	1.842	6.514657980456025	Endo-Peri
OPC	AstroOligo_MACSpeaks	9.99000999000999e-4	15	3.625	4.137931034482759	OPC
MG	Microglia_MACSpeaks	9.99000999000999e-4	7	1.301	5.380476556495005	MG
