cell	donor_id	prob_max	prob_doublet	n_vars	best_singlet	best_doublet	doublet_logLikRatio
01_01_18	unassigned	3.42e-03	4.72e-05	0	1102_1102	1102_1102,1117_1117	0.000
01_01_28	unassigned	2.48e-01	3.99e-03	6	1102_1102	1102_1102,15183_15183	0.153
01_01_30	unassigned	3.42e-03	4.72e-05	0	1102_1102	1102_1102,1117_1117	0.000
01_01_39	unassigned	3.42e-03	4.72e-05	0	1102_1102	1102_1102,1117_1117	0.000
01_01_47	unassigned	3.42e-03	4.72e-05	0	1102_1102	1102_1102,1117_1117	0.000
01_01_53	unassigned	9.17e-03	1.26e-04	1	1117_1117	1117_1117,11511_11511	0.000
01_01_73	unassigned	5.51e-01	1.45e-02	8	15070_15070	15070_15070,15249_15249	0.645
01_01_89	unassigned	8.43e-02	1.16e-03	4	1558_1558	1558_1558,13901_13901	0.000
01_01_90	unassigned	3.42e-03	4.72e-05	0	1102_1102	1102_1102,1117_1117	0.000
01_02_01	unassigned	8.22e-03	1.13e-04	1	1117_1117	1117_1117,11921_11921	0.000
01_02_03	unassigned	3.42e-03	4.72e-05	0	1102_1102	1102_1102,1117_1117	0.000
01_02_29	unassigned	2.19e-02	3.02e-04	2	1102_1102	1102_1102,1558_1558	0.000
01_02_44	unassigned	3.42e-03	4.72e-05	0	1102_1102	1102_1102,1117_1117	0.000
01_02_56	unassigned	5.47e-03	7.55e-05	1	11396_11396	11396_11396,11654_11654	0.000
01_02_61	unassigned	3.01e-02	4.15e-04	3	17071_17071	17071_17071,17809_FC	0.000
01_02_72	unassigned	4.36e-02	6.01e-04	2	12047_12047	12047_12047,14149_14149	0.000
01_02_85	unassigned	3.42e-03	4.72e-05	0	1102_1102	1102_1102,1117_1117	0.000
01_03_03	unassigned	3.42e-03	4.72e-05	0	1102_1102	1102_1102,1117_1117	0.000
01_03_55	unassigned	3.42e-03	4.72e-05	0	1102_1102	1102_1102,1117_1117	0.000
01_03_69	unassigned	3.42e-03	4.72e-05	0	1102_1102	1102_1102,1117_1117	0.000
01_03_78	unassigned	3.42e-03	4.72e-05	0	1102_1102	1102_1102,1117_1117	0.000
01_04_04	unassigned	4.57e-03	6.30e-05	1	1102_1102	1102_1102,2143_2143	0.000
01_04_10	unassigned	6.01e-03	8.29e-05	1	1117_1117	1117_1117,1558_1558	0.000
01_04_12	unassigned	3.42e-03	4.72e-05	0	1102_1102	1102_1102,1117_1117	0.000
01_04_16	unassigned	3.42e-03	4.72e-05	0	1102_1102	1102_1102,1117_1117	0.000
01_04_28	unassigned	2.30e-02	3.17e-04	3	17071_17071	17071_17071,18145_18145	0.000
01_04_76	unassigned	3.42e-03	4.72e-05	0	1102_1102	1102_1102,1117_1117	0.000
01_04_87	unassigned	5.79e-03	7.98e-05	1	1102_1102	1102_1102,1117_1117	0.000
01_05_12	unassigned	4.41e-03	6.08e-05	1	1102_1102	1102_1102,1117_1117	0.000
01_05_21	unassigned	3.42e-03	4.72e-05	0	1102_1102	1102_1102,1117_1117	0.000
01_05_47	unassigned	1.24e-02	1.71e-04	2	11654_11654	11654_11654,12036_12036	0.000
01_05_69	unassigned	3.42e-03	4.72e-05	0	1102_1102	1102_1102,1117_1117	0.000
01_05_76	unassigned	3.42e-03	4.72e-05	0	1102_1102	1102_1102,1117_1117	0.000
01_05_89	unassigned	6.24e-02	7.18e-04	3	14533_14533	1102_1102,14533_14533	-0.180
01_06_15	unassigned	3.42e-03	4.72e-05	0	1102_1102	1102_1102,1117_1117	0.000
01_06_21	unassigned	3.42e-03	4.72e-05	0	1102_1102	1102_1102,1117_1117	0.000
01_06_36	unassigned	3.42e-03	4.72e-05	0	1102_1102	1102_1102,1117_1117	0.000
01_06_87	unassigned	5.83e-03	8.04e-05	1	1102_1102	1102_1102,1558_1558	0.000
01_07_01	unassigned	6.23e-01	4.18e-03	6	1102_1102	1102_1102,17940_17940	-0.721
01_07_04	unassigned	3.42e-03	4.72e-05	0	1102_1102	1102_1102,1117_1117	0.000
01_07_28	unassigned	1.60e-02	2.20e-04	2	1102_1102	1102_1102,11654_11654	0.000
01_07_30	unassigned	3.42e-03	4.72e-05	0	1102_1102	1102_1102,1117_1117	0.000
01_07_32	unassigned	3.42e-03	4.72e-05	0	1102_1102	1102_1102,1117_1117	0.000
01_07_37	unassigned	1.65e-01	2.27e-03	4	17072_17072	17072_17072,18145_18145	0.000
01_07_39	unassigned	4.65e-02	6.41e-04	2	12152_12152	12152_12152,14533_14533	0.000
01_07_56	unassigned	5.40e-02	8.39e-04	3	1558_1558	1558_1558,14703_14703	0.119
01_07_65	unassigned	1.47e-01	2.70e-03	5	1102_1102	1102_1102,12993_12993	0.288
01_07_71	unassigned	3.42e-03	4.72e-05	0	1102_1102	1102_1102,1117_1117	0.000
01_07_72	unassigned	3.42e-03	4.72e-05	0	1102_1102	1102_1102,1117_1117	0.000
01_07_74	unassigned	3.42e-03	4.72e-05	0	1102_1102	1102_1102,1117_1117	0.000
01_07_78	unassigned	3.42e-03	4.72e-05	0	1102_1102	1102_1102,1117_1117	0.000
01_07_80	unassigned	2.48e-02	3.42e-04	2	2143_2143	2143_2143,13142_13142	0.000
01_07_82	unassigned	3.42e-03	4.72e-05	0	1102_1102	1102_1102,1117_1117	0.000
01_07_86	unassigned	3.42e-03	4.72e-05	0	1102_1102	1102_1102,1117_1117	0.000
01_08_10	unassigned	1.76e-02	2.42e-04	1	11511_11511	11511_11511,12034_12034	0.000
01_08_35	unassigned	6.83e-02	9.43e-04	4	13886_13886	13886_13886,14619_14619	0.000
01_08_43	unassigned	1.32e-02	1.81e-04	2	11654_11654	11654_11654,12036_12036	0.000
01_08_57	unassigned	3.42e-03	4.72e-05	0	1102_1102	1102_1102,1117_1117	0.000
01_08_70	unassigned	3.42e-03	4.72e-05	0	1102_1102	1102_1102,1117_1117	0.000
01_08_77	unassigned	3.42e-03	4.72e-05	0	1102_1102	1102_1102,1117_1117	0.000
01_08_82	unassigned	3.42e-03	4.72e-05	0	1102_1102	1102_1102,1117_1117	0.000
01_08_87	unassigned	3.42e-03	4.72e-05	0	1102_1102	1102_1102,1117_1117	0.000
01_08_89	unassigned	3.42e-03	4.72e-05	0	1102_1102	1102_1102,1117_1117	0.000
01_08_90	unassigned	2.44e-02	3.36e-04	3	2143_2143	2143_2143,11875_11875	0.000
01_09_02	unassigned	8.18e-03	1.13e-04	1	1102_1102	1102_1102,12152_12152	0.000
01_09_23	unassigned	5.12e-03	7.06e-05	1	1102_1102	1102_1102,1558_1558	0.000
01_09_29	unassigned	9.92e-03	1.37e-04	1	1102_1102	1102_1102,1117_1117	0.000
01_09_45	unassigned	6.32e-02	8.71e-04	2	1117_1117	1117_1117,1923_1923	0.000
01_09_56	unassigned	8.96e-03	1.24e-04	1	1102_1102	1102_1102,11511_11511	0.000
01_09_66	unassigned	8.01e-03	1.10e-04	1	1102_1102	1102_1102,11928_11928	0.000
01_09_78	unassigned	1.12e-02	1.54e-04	1	2143_2143	2143_2143,11654_11654	0.000
01_09_83	unassigned	3.42e-03	4.72e-05	0	1102_1102	1102_1102,1117_1117	0.000
01_09_85	unassigned	1.15e-02	1.59e-04	1	1117_1117	1117_1117,1558_1558	0.000
01_10_21	unassigned	3.42e-03	4.72e-05	0	1102_1102	1102_1102,1117_1117	0.000
01_10_36	unassigned	1.90e-02	2.61e-04	1	1102_1102	1102_1102,11511_11511	0.000
01_10_41	unassigned	1.57e-02	2.16e-04	2	11921_11921	11921_11921,12036_12036	0.000
01_10_49	unassigned	3.42e-03	4.72e-05	0	1102_1102	1102_1102,1117_1117	0.000
