cell	donor_id	prob_max	prob_doublet	n_vars	best_singlet	best_doublet	doublet_logLikRatio
01_01_02	unassigned	3.42e-03	4.72e-05	0	1102_1102	1102_1102,1117_1117	0.000
01_02_22	unassigned	3.42e-03	4.72e-05	0	1102_1102	1102_1102,1117_1117	0.000
01_02_30	unassigned	8.01e-03	1.10e-04	1	1117_1117	1117_1117,1923_1923	0.000
01_02_41	unassigned	3.42e-03	4.72e-05	0	1102_1102	1102_1102,1117_1117	0.000
01_02_63	unassigned	7.17e-03	9.89e-05	1	1117_1117	1117_1117,1558_1558	0.000
01_02_72	unassigned	7.36e-02	8.18e-04	4	12971_FC	11449_11449,12971_FC	-0.215
01_02_87	unassigned	3.42e-03	4.72e-05	0	1102_1102	1102_1102,1117_1117	0.000
01_03_08	unassigned	1.35e-02	1.87e-04	2	1558_1558	1558_1558,1923_1923	0.000
01_03_36	unassigned	3.42e-03	4.72e-05	0	1102_1102	1102_1102,1117_1117	0.000
01_03_73	unassigned	6.19e-03	8.54e-05	1	1117_1117	1117_1117,1923_1923	0.000
01_04_01	unassigned	4.37e-01	6.03e-03	12	14493_14493	14493_14493,14493_FC	0.000
01_04_04	unassigned	3.42e-03	4.72e-05	0	1102_1102	1102_1102,1117_1117	0.000
01_04_54	unassigned	3.42e-03	4.72e-05	0	1102_1102	1102_1102,1117_1117	0.000
01_04_70	unassigned	1.76e-02	2.43e-04	3	1558_1558	1558_1558,1923_1923	0.000
01_04_85	unassigned	1.45e-02	1.99e-04	2	2143_2143	2143_2143,11921_11921	0.000
01_04_89	unassigned	3.42e-03	4.72e-05	0	1102_1102	1102_1102,1117_1117	0.000
01_05_16	unassigned	8.36e-03	1.15e-04	2	11511_11511	11511_11511,11921_11921	0.000
01_05_21	unassigned	3.20e-02	4.41e-04	2	13117_13117	13117_13117,13823_FC	0.000
01_05_29	unassigned	3.37e-01	4.65e-03	8	14493_14493	14493_14493,14493_FC	0.000
01_05_35	unassigned	3.42e-03	4.72e-05	0	1102_1102	1102_1102,1117_1117	0.000
01_05_47	unassigned	2.78e-02	3.84e-04	4	14483_FC	14483_FC,14493_14493	0.000
01_05_81	unassigned	8.86e-02	9.86e-04	3	11921_11921	11921_11921,12152_12152	-0.215
01_06_15	unassigned	9.05e-02	1.25e-03	3	11875_11875	11875_11875,12994_a	0.000
01_06_24	unassigned	3.42e-03	4.72e-05	0	1102_1102	1102_1102,1117_1117	0.000
01_06_25	unassigned	4.63e-01	1.32e-02	45	14493_14493	14493_14493,15245_15245	0.723
01_06_27	unassigned	2.53e-01	6.01e-03	9	17812_17812	14493_14493,17812_17812	0.542
01_06_32	unassigned	9.92e-02	1.36e-03	6	12993_12993	12993_12993,15217_15217	-0.005
01_06_40	unassigned	3.42e-03	4.72e-05	0	1102_1102	1102_1102,1117_1117	0.000
01_06_47	unassigned	4.78e-03	6.59e-05	1	1102_1102	1102_1102,1558_1558	0.000
01_06_61	unassigned	2.84e-02	3.92e-04	4	11396_11396	11396_11396,13782_13782	0.000
01_06_65	unassigned	3.42e-03	4.72e-05	0	1102_1102	1102_1102,1117_1117	0.000
01_06_68	unassigned	2.25e-01	2.50e-03	5	19043_19043	14524_14524,19043_19043	-0.215
01_07_03	unassigned	2.79e-02	3.85e-04	4	11921_11921	11921_11921,13424_13424	0.000
01_07_13	unassigned	7.04e-03	9.71e-05	1	2143_2143	2143_2143,11396_11396	0.000
01_07_20	unassigned	8.84e-03	1.22e-04	1	1117_1117	1117_1117,1558_1558	0.000
01_07_41	unassigned	2.77e-01	3.82e-03	8	14493_14493	14493_14493,14493_FC	0.000
01_07_47	unassigned	2.79e-02	3.84e-04	2	14493_14493	14493_14493,14493_FC	0.000
01_07_49	unassigned	1.15e-02	1.59e-04	1	13910_13910	13910_13910,14493_14493	0.000
01_07_59	unassigned	3.42e-03	4.72e-05	0	1102_1102	1102_1102,1117_1117	0.000
01_07_65	unassigned	1.20e-02	1.66e-04	1	12047_12047	12047_12047,12993_12993	0.000
01_07_76	unassigned	3.42e-03	4.72e-05	0	1102_1102	1102_1102,1117_1117	0.000
01_07_82	unassigned	3.42e-03	4.72e-05	0	1102_1102	1102_1102,1117_1117	0.000
01_07_91	unassigned	1.68e-02	2.32e-04	2	12152_12152	12152_12152,13823_FC	0.000
01_07_95	unassigned	3.17e-02	4.38e-04	2	13885_13885	13885_13885,14211_14211	0.000
01_08_47	unassigned	5.92e-03	8.17e-05	1	1102_1102	1102_1102,2143_2143	0.000
01_08_62	unassigned	6.16e-02	1.05e-03	6	12036_12036	12036_12036,14706_14706	0.210
01_09_13	unassigned	1.09e-01	1.61e-03	4	12034_12034	11396_11396,12034_12034	0.068
01_09_29	unassigned	7.27e-02	1.00e-03	3	12036_12036	12036_12036,13142_13142	0.000
01_09_59	unassigned	1.21e-02	1.67e-04	1	14521_14521	14521_14521,15091_15091	0.000
01_09_70	unassigned	1.71e-02	2.36e-04	2	1102_1102	1102_1102,11449_11449	0.000
01_09_74	unassigned	6.05e-03	8.35e-05	1	1102_1102	1102_1102,1117_1117	0.000
01_09_86	unassigned	7.26e-03	1.00e-04	1	1102_1102	1102_1102,2143_2143	0.000
01_09_88	unassigned	2.47e-02	2.74e-04	2	17048_17048	11511_11511,17048_17048	-0.215
01_09_92	unassigned	1.26e-02	1.73e-04	2	11928_11928	11928_11928,13886_13886	0.000
01_10_21	unassigned	9.99e-03	1.38e-04	1	11396_11396	11396_11396,11449_11449	0.000
01_10_33	unassigned	6.04e-03	8.34e-05	1	1558_1558	1558_1558,1923_1923	0.000
01_10_46	unassigned	3.42e-03	4.72e-05	0	1102_1102	1102_1102,1117_1117	0.000
01_10_62	unassigned	3.59e-01	2.78e-03	7	14483_FC	12993_12993,14483_FC	-0.576
01_10_67	unassigned	3.42e-03	4.72e-05	0	1102_1102	1102_1102,1117_1117	0.000
01_10_69	unassigned	2.64e-02	3.64e-04	3	12971_FC	12971_FC,13823_FC	0.000
01_11_06	unassigned	1.32e-02	1.82e-04	1	12034_12034	12034_12034,13008_A	0.000
01_11_15	unassigned	3.48e-02	4.79e-04	3	11928_11928	11928_11928,13886_13886	0.000
01_11_26	unassigned	7.38e-03	1.02e-04	2	12152_12152	12152_12152,13782_13782	0.000
01_11_40	unassigned	7.64e-02	1.05e-03	3	12036_12036	12036_12036,12971_FC	0.000
01_11_44	unassigned	1.27e-02	1.75e-04	2	11928_11928	11928_11928,12152_12152	0.000
01_11_67	unassigned	7.40e-03	1.02e-04	1	2143_2143	2143_2143,11928_11928	0.000
01_11_71	unassigned	1.91e-01	2.36e-03	6	16024_16024	15218_15218,16024_16024	-0.113
01_11_80	unassigned	5.88e-03	8.11e-05	1	1923_1923	1923_1923,11921_11921	0.000
01_12_16	unassigned	3.42e-03	4.72e-05	0	1102_1102	1102_1102,1117_1117	0.000
01_12_31	unassigned	6.19e-03	8.53e-05	1	1923_1923	1923_1923,11449_11449	0.000
01_12_33	unassigned	2.90e-02	4.01e-04	3	14493_14493	14493_14493,14493_FC	0.000
01_12_77	unassigned	1.35e-02	1.86e-04	1	1102_1102	1102_1102,1117_1117	0.000
01_12_87	unassigned	5.49e-03	7.57e-05	1	1102_1102	1102_1102,1558_1558	0.000
01_13_27	unassigned	3.42e-03	4.72e-05	0	1102_1102	1102_1102,1117_1117	0.000
01_13_30	unassigned	6.53e-03	9.01e-05	1	1923_1923	1923_1923,11449_11449	0.000
01_13_51	unassigned	1.28e-02	1.77e-04	2	11449_11449	11449_11449,13142_13142	0.000
01_13_76	unassigned	9.92e-02	7.18e-04	3	14533_14533	2143_2143,14533_14533	-0.645
01_13_95	unassigned	1.12e-02	1.55e-04	2	1102_1102	1102_1102,13454_13454	0.000
01_14_09	unassigned	3.42e-03	4.72e-05	0	1102_1102	1102_1102,1117_1117	0.000
01_14_17	unassigned	1.64e-01	3.19e-03	7	13117_13117	14524_14524,17972_17972	0.345
01_14_35	unassigned	7.85e-03	1.08e-04	1	1117_1117	1117_1117,1923_1923	0.000
01_14_57	unassigned	1.15e-02	1.58e-04	3	1923_1923	1923_1923,2143_2143	0.000
01_14_64	unassigned	3.42e-03	4.72e-05	0	1102_1102	1102_1102,1117_1117	0.000
01_14_74	unassigned	3.45e-01	3.23e-03	7	14836_14836	14510_FC,14836_14836	-0.389
01_14_81	unassigned	3.42e-03	4.72e-05	0	1102_1102	1102_1102,1117_1117	0.000
01_14_89	unassigned	2.14e-02	2.96e-04	3	11875_11875	11875_11875,14105_14105	0.000
01_15_41	unassigned	8.16e-01	1.03e-02	11	12034_12034	12034_12034,17978_17978	-0.087
01_15_43	unassigned	6.51e-03	8.97e-05	1	1923_1923	1923_1923,11396_11396	0.000
01_15_51	unassigned	2.37e-01	2.27e-03	6	19043_19043	14493_14493,19043_19043	-0.361
01_15_62	unassigned	1.07e-02	1.47e-04	1	1117_1117	1117_1117,11511_11511	0.000
01_15_76	unassigned	7.27e-02	1.33e-03	4	11396_11396	11396_11396,13142_13142	0.283
01_15_82	unassigned	3.42e-03	4.72e-05	0	1102_1102	1102_1102,1117_1117	0.000
01_15_89	unassigned	3.42e-03	4.72e-05	0	1102_1102	1102_1102,1117_1117	0.000
01_15_93	unassigned	3.42e-03	4.72e-05	0	1102_1102	1102_1102,1117_1117	0.000
01_16_51	unassigned	5.39e-03	7.43e-05	1	1117_1117	1117_1117,1923_1923	0.000
01_16_56	unassigned	3.42e-03	4.72e-05	0	1102_1102	1102_1102,1117_1117	0.000
01_16_65	unassigned	3.42e-03	4.72e-05	0	1102_1102	1102_1102,1117_1117	0.000
01_17_31	unassigned	2.15e-02	2.97e-04	1	1558_1558	1558_1558,13823_FC	0.000
01_17_42	unassigned	3.42e-03	4.72e-05	0	1102_1102	1102_1102,1117_1117	0.000
01_17_43	unassigned	5.62e-03	7.75e-05	1	1117_1117	1117_1117,1558_1558	0.000
01_17_53	unassigned	3.42e-03	4.72e-05	0	1102_1102	1102_1102,1117_1117	0.000
01_17_96	unassigned	1.73e-01	1.67e-03	5	17630_17630	11511_11511,17630_17630	-0.361
01_18_48	unassigned	4.30e-03	5.93e-05	1	1102_1102	1102_1102,1117_1117	0.000
01_18_90	unassigned	8.15e-03	1.12e-04	2	1117_1117	1117_1117,1923_1923	0.000
01_19_13	unassigned	3.42e-03	4.72e-05	0	1102_1102	1102_1102,1117_1117	0.000
01_19_15	unassigned	1.77e-01	5.06e-03	9	11449_11449	11449_11449,14284_14284	0.729
01_19_30	unassigned	9.16e-03	1.26e-04	1	1923_1923	1923_1923,14284_14284	0.000
01_19_37	unassigned	3.42e-03	4.72e-05	0	1102_1102	1102_1102,1117_1117	0.000
01_19_68	unassigned	1.31e-01	4.20e-03	8	14533_14533	14533_14533,15265_15265	0.840
01_19_79	unassigned	5.19e-01	2.95e-02	12	17756_17756	14706_14706,17756_17756	1.419
01_19_87	unassigned	1.60e-02	2.21e-04	3	1117_1117	1117_1117,11928_11928	0.000
01_19_95	unassigned	8.89e-02	1.23e-03	6	11396_11396	11396_11396,14493_14493	0.000
01_20_10	unassigned	3.42e-03	4.72e-05	0	1102_1102	1102_1102,1117_1117	0.000
01_20_19	unassigned	7.11e-02	7.91e-04	4	15265_15265	14521_14521,15265_15265	-0.215
01_20_62	unassigned	1.41e-02	1.95e-04	2	2143_2143	2143_2143,11928_11928	0.000
01_20_63	unassigned	2.08e-01	1.62e-02	16	16488_16488	14493_14493,17883_FC	1.735
01_20_69	unassigned	1.43e-01	1.97e-03	5	15821_15821	15821_15821,16438_16438	0.000
01_20_84	unassigned	4.04e-01	1.20e-02	13	14493_14493	14493_14493,17072_17072	0.763
01_21_42	unassigned	9.35e-03	1.29e-04	1	1102_1102	1102_1102,1923_1923	0.000
01_21_51	unassigned	3.42e-03	4.72e-05	0	1102_1102	1102_1102,1117_1117	0.000
01_21_64	unassigned	1.19e-01	1.37e-03	8	17160_17160	14501_14501,17160_17160	-0.174
01_21_66	unassigned	3.42e-03	4.72e-05	0	1102_1102	1102_1102,1117_1117	0.000
01_21_71	unassigned	3.42e-03	4.72e-05	0	1102_1102	1102_1102,1117_1117	0.000
01_22_17	unassigned	7.52e-03	1.04e-04	2	1102_1102	1102_1102,1117_1117	0.000
01_22_22	unassigned	1.27e-01	2.32e-03	7	17923_17923	11921_11921,17923_17923	0.279
01_22_41	unassigned	9.81e-02	1.09e-03	3	18351_FC	14524_14524,18351_FC	-0.215
01_22_64	unassigned	6.24e-03	8.61e-05	1	1102_1102	1102_1102,1558_1558	0.000
01_22_81	unassigned	3.42e-03	4.72e-05	0	1102_1102	1102_1102,1117_1117	0.000
01_22_82	unassigned	1.20e-02	1.65e-04	1	12036_12036	12036_12036,13117_13117	0.000
01_22_96	unassigned	1.71e-02	2.37e-04	1	12034_12034	12034_12034,13008_A	0.000
01_23_02	unassigned	2.99e-02	4.12e-04	2	2143_2143	2143_2143,15985_15985	0.000
01_23_20	unassigned	4.15e-01	5.72e-03	9	14493_14493	14493_14493,14493_FC	0.000
01_23_36	unassigned	4.03e-01	9.96e-03	16	14493_14493	12972_FC,14493_14493	0.583
01_23_39	unassigned	9.33e-02	1.29e-03	7	17486_17486	17486_17486,18145_18145	0.000
01_23_59	unassigned	3.42e-03	4.72e-05	0	1102_1102	1102_1102,1117_1117	0.000
01_23_60	unassigned	2.69e-01	2.08e-03	8	17671_17671	15309_15309,17671_17671	-0.576
