bc_wells,sample,species,gene_count,tscp_count,mread_count,bc1_wind,bc2_wind,bc3_wind,bc1_well,bc2_well,bc3_well
10_01_08,12994_a,hg38,1115,1631,4289,10,1,8,A10,A1,A8
10_01_14,12994_a,hg38,455,556,1401,10,1,14,A10,A1,B2
10_01_35,12994_a,hg38,283,328,800,10,1,35,A10,A1,C11
10_01_73,12994_a,hg38,329,393,973,10,1,73,A10,A1,G1
10_01_77,12994_a,hg38,390,469,1259,10,1,77,A10,A1,G5
10_02_02,12994_a,hg38,676,864,2197,10,2,2,A10,A2,A2
10_02_17,12994_a,hg38,518,627,1518,10,2,17,A10,A2,B5
10_02_59,12994_a,hg38,3269,5935,14894,10,2,59,A10,A2,E11
10_02_76,12994_a,hg38,979,1328,3406,10,2,76,A10,A2,G4
10_03_61,12994_a,hg38,626,883,2317,10,3,61,A10,A3,F1
10_03_76,12994_a,hg38,392,460,1147,10,3,76,A10,A3,G4
10_03_82,12994_a,hg38,233,279,810,10,3,82,A10,A3,G10
10_04_23,12994_a,hg38,510,618,1554,10,4,23,A10,A4,B11
10_04_42,12994_a,hg38,1660,2727,6916,10,4,42,A10,A4,D6
10_04_57,12994_a,hg38,256,284,690,10,4,57,A10,A4,E9
10_04_86,12994_a,hg38,4251,9647,25603,10,4,86,A10,A4,H2
10_04_92,12994_a,hg38,1631,2447,6279,10,4,92,A10,A4,H8
10_05_21,12994_a,hg38,1472,2070,5282,10,5,21,A10,A5,B9
10_05_25,12994_a,hg38,912,1224,3138,10,5,25,A10,A5,C1
10_05_66,12994_a,hg38,2718,4363,11217,10,5,66,A10,A5,F6
10_06_05,12994_a,hg38,395,492,1246,10,6,5,A10,A6,A5
10_06_47,12994_a,hg38,628,866,2177,10,6,47,A10,A6,D11
10_06_71,12994_a,hg38,1261,1939,4906,10,6,71,A10,A6,F11
10_06_73,12994_a,hg38,1375,1955,5146,10,6,73,A10,A6,G1
10_06_81,12994_a,hg38,1158,1629,4115,10,6,81,A10,A6,G9
10_06_86,12994_a,hg38,1761,2802,7352,10,6,86,A10,A6,H2
10_06_87,12994_a,hg38,624,793,2061,10,6,87,A10,A6,H3
10_07_10,12994_a,hg38,373,467,1156,10,7,10,A10,A7,A10
10_07_11,12994_a,hg38,7544,26485,68251,10,7,11,A10,A7,A11
10_07_18,12994_a,hg38,4472,11212,29226,10,7,18,A10,A7,B6
10_07_37,12994_a,hg38,2468,4194,10739,10,7,37,A10,A7,D1
10_07_87,12994_a,hg38,1135,1666,4272,10,7,87,A10,A7,H3
10_07_93,12994_a,hg38,674,890,2237,10,7,93,A10,A7,H9
10_08_11,12994_a,hg38,2168,3682,9075,10,8,11,A10,A8,A11
10_08_16,12994_a,hg38,8341,31770,80723,10,8,16,A10,A8,B4
10_08_81,12994_a,hg38,2365,3892,9828,10,8,81,A10,A8,G9
10_09_02,12994_a,hg38,528,642,1581,10,9,2,A10,A9,A2
10_09_16,12994_a,hg38,292,335,863,10,9,16,A10,A9,B4
10_09_27,12994_a,hg38,1103,1518,3845,10,9,27,A10,A9,C3
10_09_42,12994_a,hg38,3508,7190,19122,10,9,42,A10,A9,D6
10_09_57,12994_a,hg38,266,298,722,10,9,57,A10,A9,E9
10_09_59,12994_a,hg38,4681,11165,28465,10,9,59,A10,A9,E11
10_09_69,12994_a,hg38,2747,4964,12838,10,9,69,A10,A9,F9
10_09_81,12994_a,hg38,426,531,1381,10,9,81,A10,A9,G9
10_10_24,12994_a,hg38,322,388,983,10,10,24,A10,A10,B12
10_10_29,12994_a,hg38,314,350,867,10,10,29,A10,A10,C5
10_10_81,12994_a,hg38,302,379,1002,10,10,81,A10,A10,G9
10_12_23,12994_a,hg38,2036,3319,8386,10,12,23,A10,A12,B11
10_12_27,12994_a,hg38,984,1408,3592,10,12,27,A10,A12,C3
10_12_28,12994_a,hg38,822,1099,2882,10,12,28,A10,A12,C4
10_12_36,12994_a,hg38,2235,3760,9622,10,12,36,A10,A12,C12
10_12_55,12994_a,hg38,282,320,822,10,12,55,A10,A12,E7
10_12_65,12994_a,hg38,1537,2217,5493,10,12,65,A10,A12,F5
10_12_76,12994_a,hg38,1856,2857,7140,10,12,76,A10,A12,G4
10_12_83,12994_a,hg38,438,550,1410,10,12,83,A10,A12,G11
10_12_86,12994_a,hg38,883,1187,3024,10,12,86,A10,A12,H2
10_12_92,12994_a,hg38,3829,8579,21946,10,12,92,A10,A12,H8
10_13_05,12994_a,hg38,5487,15639,40152,10,13,5,A10,B1,A5
10_13_16,12994_a,hg38,452,542,1318,10,13,16,A10,B1,B4
10_13_82,12994_a,hg38,671,833,2044,10,13,82,A10,B1,G10
10_13_85,12994_a,hg38,656,865,2117,10,13,85,A10,B1,H1
10_14_04,12994_a,hg38,345,412,1042,10,14,4,A10,B2,A4
10_14_05,12994_a,hg38,569,715,1868,10,14,5,A10,B2,A5
10_14_24,12994_a,hg38,1019,1424,3676,10,14,24,A10,B2,B12
10_14_58,12994_a,hg38,475,619,1667,10,14,58,A10,B2,E10
10_14_74,12994_a,hg38,1479,2068,5366,10,14,74,A10,B2,G2
10_14_96,12994_a,hg38,707,909,2322,10,14,96,A10,B2,H12
10_15_09,12994_a,hg38,626,829,2154,10,15,9,A10,B3,A9
10_15_26,12994_a,hg38,625,784,1986,10,15,26,A10,B3,C2
10_15_52,12994_a,hg38,1244,1721,4383,10,15,52,A10,B3,E4
10_15_68,12994_a,hg38,593,746,1959,10,15,68,A10,B3,F8
10_15_69,12994_a,hg38,418,467,1202,10,15,69,A10,B3,F9
10_15_91,12994_a,hg38,670,894,2289,10,15,91,A10,B3,H7
10_16_08,12994_a,hg38,281,319,812,10,16,8,A10,B4,A8
10_16_65,12994_a,hg38,299,351,944,10,16,65,A10,B4,F5
10_17_02,12994_a,hg38,461,564,1493,10,17,2,A10,B5,A2
10_17_45,12994_a,hg38,556,741,1932,10,17,45,A10,B5,D9
10_17_46,12994_a,hg38,3601,7009,18578,10,17,46,A10,B5,D10
