sample	count	plate
1118	25249	plate2
16024	25136	plate2
14706	24265	plate2
13910	24163	plate2
15658	13320	plate2
13885	11314	plate2
15517	11189	plate2
15125	11093	plate2
17940	10763	plate2
14765	10343	plate2
14211	10336	plate2
14483_FC	10057	plate2
15245	9955	plate2
15249	9620	plate2
15217	9519	plate2
16438	9399	plate2
14402	9306	plate2
15351	9058	plate2
16840	8793	plate2
15218	8669	plate2
18382	8603	plate2
13901	8407	plate2
18145	8387	plate2
14611_FC	8231	plate2
14821	8092	plate2
14105	8078	plate2
2143	8000	plate2
1117	7979	plate2
14533	7971	plate2
1558	7805	plate2
13782	7805	plate2
16488	7801	plate2
13454	7686	plate2
1102	7681	plate2
16281	7662	plate2
13907	7598	plate2
17767	7356	plate2
13424	7325	plate2
13950	7104	plate2
12994_a	7077	plate2
15895	7066	plate2
18061	6936	plate2
16491	6919	plate2
14284	6919	plate2
16548	6763	plate2
15265	6686	plate2
14205	6420	plate2
14510_FC	6317	plate2
15328	6293	plate2
15432	6248	plate2
14149	6220	plate2
17972	6143	plate2
15260	6029	plate2
15426	5994	plate2
15355	5881	plate2
18039	5783	plate2
16246	5735	plate2
17898	5734	plate2
14703	5725	plate2
15821	5624	plate2
15699	5531	plate2
11875	5505	plate2
15955	5474	plate2
17634	5453	plate2
16393	5371	plate2
1923	5181	plate2
14718	5130	plate2
18137	5045	plate2
14773	4997	plate2
15444	4983	plate2
15219	4969	plate2
13886	4856	plate2
16385	4817	plate2
15370	4810	plate2
16011	4707	plate2
15949	4652	plate2
17978	4348	plate2
14729	4017	plate2
15794	3991	plate2
15183	3959	plate2
15309	3634	plate2
11921	3585	plate2
15985	3503	plate2
14836	2593	plate2
15248	1959	plate2
14521	967	plate2
