sample	count	plate
18372	22688	plate1
11654	21118	plate1
17048	17469	plate1
17053	17130	plate1
17486	16997	plate1
17936	16437	plate1
17921	15538	plate1
14619	15038	plate1
17756	13243	plate1
17086	13230	plate1
17109	12916	plate1
16114_FC	12167	plate1
14524	10950	plate1
17162	10794	plate1
17630	10697	plate1
17264	10658	plate1
15626	10572	plate1
14812	10142	plate1
17198	9967	plate1
17629	9862	plate1
11928	9803	plate1
14473	9731	plate1
17160	9689	plate1
12570	9603	plate1
17923	9603	plate1
14501	9469	plate1
17167	9359	plate1
14404	9356	plate1
12972_FC	9136	plate1
17175	9090	plate1
12034	8973	plate1
12993	8916	plate1
18184_FC	8756	plate1
11396	8737	plate1
17071	8655	plate1
17883_FC	8645	plate1
11449	8557	plate1
14862	8451	plate1
17671	8448	plate1
13823_FC	8330	plate1
18190_FC	8284	plate1
17369	8228	plate1
15611	8169	plate1
13008_A	8147	plate1
12152	8123	plate1
11511	7952	plate1
17809_FC	7946	plate1
14746	7887	plate1
12971_FC	7831	plate1
18121	7755	plate1
17754	7661	plate1
19043	7463	plate1
14493_FC	7424	plate1
16972	7387	plate1
13117	7290	plate1
15091	7233	plate1
13142	7212	plate1
18351_FC	7135	plate1
17812	7117	plate1
18048	6959	plate1
14510_FC	6783	plate1
15135	6726	plate1
17072	6677	plate1
15237	6675	plate1
12047	6432	plate1
14483_FC	6068	plate1
12036	5909	plate1
15070	5861	plate1
11875	5802	plate1
14402	3487	plate1
14611_FC	3253	plate1
17940	2916	plate1
14521	2493	plate1
