chromosome_name	start_position	end_position	gene_biotype	hgnc_symbol	hgnc_id	entrezgene_id	ensembl_gene_id	strand	external_gene_name
MT	577	647	Mt_tRNA	MT-TF	HGNC:7481	NA	ENSG00000210049	1	MT-TF
MT	648	1601	Mt_rRNA	MT-RNR1	HGNC:7470	NA	ENSG00000211459	1	MT-RNR1
MT	1602	1670	Mt_tRNA	MT-TV	HGNC:7500	NA	ENSG00000210077	1	MT-TV
MT	1671	3229	Mt_rRNA	MT-RNR2	HGNC:7471	NA	ENSG00000210082	1	MT-RNR2
MT	3230	3304	Mt_tRNA	MT-TL1	HGNC:7490	NA	ENSG00000209082	1	MT-TL1
MT	3307	4262	protein_coding	MT-ND1	HGNC:7455	4535	ENSG00000198888	1	MT-ND1
MT	4263	4331	Mt_tRNA	MT-TI	HGNC:7488	NA	ENSG00000210100	1	MT-TI
MT	4329	4400	Mt_tRNA	MT-TQ	HGNC:7495	NA	ENSG00000210107	-1	MT-TQ
MT	4402	4469	Mt_tRNA	MT-TM	HGNC:7492	NA	ENSG00000210112	1	MT-TM
MT	4470	5511	protein_coding	MT-ND2	HGNC:7456	4536	ENSG00000198763	1	MT-ND2
MT	5512	5579	Mt_tRNA	MT-TW	HGNC:7501	NA	ENSG00000210117	1	MT-TW
MT	5587	5655	Mt_tRNA	MT-TA	HGNC:7475	NA	ENSG00000210127	-1	MT-TA
MT	5657	5729	Mt_tRNA	MT-TN	HGNC:7493	NA	ENSG00000210135	-1	MT-TN
MT	5761	5826	Mt_tRNA	MT-TC	HGNC:7477	NA	ENSG00000210140	-1	MT-TC
MT	5826	5891	Mt_tRNA	MT-TY	HGNC:7502	NA	ENSG00000210144	-1	MT-TY
MT	5904	7445	protein_coding	MT-CO1	HGNC:7419	4512	ENSG00000198804	1	MT-CO1
MT	7446	7514	Mt_tRNA	MT-TS1	HGNC:7497	113219467	ENSG00000210151	-1	MT-TS1
MT	7518	7585	Mt_tRNA	MT-TD	HGNC:7478	NA	ENSG00000210154	1	MT-TD
MT	7586	8269	protein_coding	MT-CO2	HGNC:7421	4513	ENSG00000198712	1	MT-CO2
MT	8295	8364	Mt_tRNA	MT-TK	HGNC:7489	NA	ENSG00000210156	1	MT-TK
MT	8366	8572	protein_coding	MT-ATP8	HGNC:7415	4509	ENSG00000228253	1	MT-ATP8
MT	8527	9207	protein_coding	MT-ATP6	HGNC:7414	4508	ENSG00000198899	1	MT-ATP6
MT	9207	9990	protein_coding	MT-CO3	HGNC:7422	4514	ENSG00000198938	1	MT-CO3
MT	9991	10058	Mt_tRNA	MT-TG	HGNC:7486	NA	ENSG00000210164	1	MT-TG
MT	10059	10404	protein_coding	MT-ND3	HGNC:7458	4537	ENSG00000198840	1	MT-ND3
MT	10405	10469	Mt_tRNA	MT-TR	HGNC:7496	NA	ENSG00000210174	1	MT-TR
MT	10470	10766	protein_coding	MT-ND4L	HGNC:7460	4539	ENSG00000212907	1	MT-ND4L
MT	10760	12137	protein_coding	MT-ND4	HGNC:7459	4538	ENSG00000198886	1	MT-ND4
MT	12138	12206	Mt_tRNA	MT-TH	HGNC:7487	NA	ENSG00000210176	1	MT-TH
MT	12207	12265	Mt_tRNA	MT-TS2	HGNC:7498	NA	ENSG00000210184	1	MT-TS2
MT	12266	12336	Mt_tRNA	MT-TL2	HGNC:7491	NA	ENSG00000210191	1	MT-TL2
MT	12337	14148	protein_coding	MT-ND5	HGNC:7461	4540	ENSG00000198786	1	MT-ND5
MT	14149	14673	protein_coding	MT-ND6	HGNC:7462	4541	ENSG00000198695	-1	MT-ND6
MT	14674	14742	Mt_tRNA	MT-TE	HGNC:7479	NA	ENSG00000210194	-1	MT-TE
MT	14747	15887	protein_coding	MT-CYB	HGNC:7427	4519	ENSG00000198727	1	MT-CYB
MT	15888	15953	Mt_tRNA	MT-TT	HGNC:7499	NA	ENSG00000210195	1	MT-TT
MT	15956	16023	Mt_tRNA	MT-TP	HGNC:7494	NA	ENSG00000210196	-1	MT-TP
KI270741.1	44347	130844	lncRNA			NA	ENSG00000299200	1	
KI270741.1	9471	39242	lncRNA			NA	ENSG00000308964	-1	
KI270442.1	380608	380726	rRNA			NA	ENSG00000278457	1	5S_rRNA
KI270711.1	4612	29626	protein_coding			124905564	ENSG00000271254	-1	
GL000220.1	105287	105376	misc_RNA			NA	ENSG00000276197	1	
KI270734.1	59711	60316	pseudogene			NA	ENSG00000278573	1	
GL000009.2	56140	58376	protein_coding			NA	ENSG00000278704	-1	
KI270748.1	68953	85760	lncRNA			NA	ENSG00000309338	1	
KI270748.1	84835	92032	lncRNA			NA	ENSG00000309357	-1	
KI270746.1	28192	48455	lncRNA			NA	ENSG00000297432	-1	
KI270746.1	36276	40556	lncRNA			NA	ENSG00000297449	1	
KI270746.1	10052	16108	lncRNA			NA	ENSG00000299314	-1	
GL000224.1	102473	119953	lncRNA			100505874	ENSG00000295063	1	
KI270751.1	2579	73732	lncRNA			124907012	ENSG00000303867	-1	
KI270751.1	2579	73732	lncRNA			124908455	ENSG00000303867	-1	
GL000224.1	30534	33767	lncRNA			NA	ENSG00000309229	1	
KI270442.1	217250	217401	rRNA			124907156	ENSG00000278294	-1	5_8S_rRNA
KI270442.1	217250	217401	rRNA			124907485	ENSG00000278294	-1	5_8S_rRNA
KI270442.1	217250	217401	rRNA			124908250	ENSG00000278294	-1	5_8S_rRNA
GL000220.1	112025	112177	rRNA	RNA5-8SN5	HGNC:53533	100008587	ENSG00000274917	1	RNA5-8SN5
GL000220.1	112025	112177	rRNA	RNA5-8SN5	HGNC:53533	124907114	ENSG00000274917	1	RNA5-8SN5
GL000220.1	112025	112177	rRNA	RNA5-8SN5	HGNC:53533	124907115	ENSG00000274917	1	RNA5-8SN5
GL000220.1	112025	112177	rRNA	RNA5-8SN5	HGNC:53533	124907116	ENSG00000274917	1	RNA5-8SN5
GL000220.1	112025	112177	rRNA	RNA5-8SN5	HGNC:53533	124907117	ENSG00000274917	1	RNA5-8SN5
GL000220.1	112025	112177	rRNA	RNA5-8SN5	HGNC:53533	124907118	ENSG00000274917	1	RNA5-8SN5
GL000220.1	112025	112177	rRNA	RNA5-8SN5	HGNC:53533	124907119	ENSG00000274917	1	RNA5-8SN5
GL000220.1	112025	112177	rRNA	RNA5-8SN5	HGNC:53533	124907120	ENSG00000274917	1	RNA5-8SN5
GL000220.1	112025	112177	rRNA	RNA5-8SN5	HGNC:53533	124907121	ENSG00000274917	1	RNA5-8SN5
GL000220.1	112025	112177	rRNA	RNA5-8SN5	HGNC:53533	124907122	ENSG00000274917	1	RNA5-8SN5
GL000220.1	112025	112177	rRNA	RNA5-8SN5	HGNC:53533	124907123	ENSG00000274917	1	RNA5-8SN5
GL000220.1	112025	112177	rRNA	RNA5-8SN5	HGNC:53533	124907124	ENSG00000274917	1	RNA5-8SN5
GL000220.1	112025	112177	rRNA	RNA5-8SN5	HGNC:53533	124907125	ENSG00000274917	1	RNA5-8SN5
GL000220.1	112025	112177	rRNA	RNA5-8SN5	HGNC:53533	124907126	ENSG00000274917	1	RNA5-8SN5
